"","county","01/01/2021","01/02/2021","01/03/2021","01/04/2021","01/05/2021","01/06/2021","01/07/2021","01/08/2021","01/09/2021","01/10/2021","01/11/2021","01/12/2021"
"1","Alameda",0,1.9,8.4,24.8,41.3,57.2,63.6,65.9,68.3,70.4,71.8,73.5
"2","Alpine",0,1.9,18.9,24.4,44.9,49.1,50.5,50.6,50.9,51.3,51.6,52.8
"3","Amador",0,2,9.6,24.5,36.7,43.1,46,47.5,49.4,52,53.4,54.4
"4","Butte",0,2.5,10.3,19.6,31,36.5,39.9,41.8,44.3,47,48.7,49.9
"5","Calaveras",0,1.5,8.3,23.3,34.4,40.4,43.5,45,47.3,50.1,51.6,52.5
"6","Colusa",0,0.6,4.6,16.6,27.7,35.8,40.1,42.2,45.3,49.1,50.9,52.3
"7","Contra Costa",0,2.4,10.7,25.5,45.1,57.4,63.4,65.7,68.5,71.2,73.3,75
"8","Del Norte",0,1.3,5.7,14.7,24.6,30.3,33.6,35,37.5,41.2,43,44.1
"9","El Dorado",0,2,10,22.2,34.7,43.4,48.1,49.9,52.4,54.5,55.9,57.1
"10","Fresno",0,1.5,6.3,17.7,30.2,36.3,40.4,42.7,45.9,49.4,51.5,53.3
"11","Glenn",0,1.4,6.8,17.4,27.8,33.1,36.4,38.6,41.3,44.7,46.8,48.3
"12","Humboldt",0,2.3,11,22.5,36.1,46.6,51.6,53.9,56.7,59.4,60.9,62.2
"13","Imperial",0,1,5.3,18.3,32.7,45.2,53.6,58.9,63.4,67.4,69.4,73
"14","Inyo",0,4.3,11.4,26.7,38.6,46.8,50.2,51.2,53,55.1,56.6,58.3
"15","Kern",0,0.9,5.2,13.5,24.6,30.1,33.8,35.9,38.7,42.4,44.7,46.6
"16","Kings",0,0.9,4.3,12.1,21.5,25.7,28.6,30.2,32.8,36,38,39.5
"17","Lake",0,1.7,8.5,20.4,29,35.6,39.1,41.4,44.6,47.8,49.6,50.8
"18","Lassen",0,0.7,5.1,9.5,16.4,18.8,20.1,21,22.2,24,25.9,27.4
"19","Los Angeles",0,1.8,8.9,19.7,35.6,47.2,52.8,55.5,58.7,61.4,63.4,65.5
"20","Madera",0,1,5.6,16,27.3,33.6,37,38.9,41.5,44.7,46.4,48
"21","Marin",0,2.4,12.4,33.6,54.5,66.4,72.6,74.3,76.1,77.5,78.4,79.8
"22","Mariposa",0,1.9,7.2,19.5,29.2,35.5,38.4,39.5,41.4,43.4,44.7,47.6
"23","Mendocino",0,2.5,13,31.9,40.6,47.1,51.6,53.4,56.3,59.5,61.2,62.6
"24","Merced",0,0.9,4.7,14.6,25,30.8,34.8,37.1,40.2,43.6,45.8,47.5
"25","Modoc",0,1.5,10.9,21.1,25.1,27.6,29.3,31.2,32.7,34.7,36.1,37
"26","Mono",0,3.4,23.7,28.5,44.2,49.2,53.2,54.2,55.8,57.9,58.9,59.9
"27","Monterey",0,1.6,6.2,16.6,34.8,45.7,51,53.5,56.5,59.4,61.3,63
"28","Napa",0,2.9,14.6,29.1,45.3,57.1,62.3,64,66.6,68.8,70.1,71.6
"29","Nevada",0,1.2,8.8,23.6,38.2,46.5,51,52.6,54.9,57.3,58.8,60.1
"30","Orange",0,1.7,9.9,19.5,37.5,49.6,55.1,57.7,60.6,63.2,64.7,66.3
"31","Placer",0,2.1,11.9,23.7,36.4,46.3,51.4,53.5,56.3,59.1,60.7,62.1
"32","Plumas",0,1.3,6.7,20.3,35.7,40.9,44,45.5,47.1,49.5,50.7,51.8
"33","Riverside",0,1.2,7,16.7,28.3,36.9,41.6,44.1,47.5,50.7,52.6,54.1
"34","Sacramento",0,1.8,7.6,18.9,32.4,42.8,48.5,51,54.2,57.3,59.1,60.7
"35","San Benito",0,1.6,6,17.1,31.5,44.3,50.2,52.9,56.1,59.4,61.5,63.5
"36","San Bernardino",0,1.6,6.1,14.3,25.1,33.6,38.2,40.8,44.2,47.4,49.3,50.9
"37","San Diego",0,2,10.1,21.5,35.9,48.4,55.6,58.4,61.4,64.1,65.7,67.3
"38","San Francisco",0,2.3,10.2,27.3,47.5,64.6,69.8,71.7,73.5,75.1,76.1,77.6
"39","San Joaquin",0,1.5,6.5,16.3,28.4,38.3,43.6,46.2,49.4,52.9,55,56.9
"40","San Luis Obispo",0,2.6,9.4,21.7,38.3,47.5,51.7,53.6,56,58.3,59.7,60.9
"41","San Mateo",0,2.3,10.1,26.3,44.2,60.8,67.4,69.5,71.6,73.3,74.6,76.3
"42","Santa Barbara",0,1.7,8.8,18.6,36.5,46.9,51.8,53.9,56.4,59,60.8,62.4
"43","Santa Clara",0,2.1,8.6,21.3,39.2,60.3,67.4,69.8,72.1,73.9,75,76.9
"44","Santa Cruz",0,2,10.7,24.9,40.4,54.7,60.6,62.7,65.1,67.1,68.3,69.8
"45","Shasta",0.1,1.6,7.5,16.9,25.6,29.8,32.9,34.5,36.8,40,42.1,43.8
"46","Sierra",0,2.2,12.1,27.4,35.9,38.6,40.9,41.8,43.3,45.7,47.1,47.9
"47","Siskiyou",0,1.7,9.1,20.5,29.1,33.7,37,38.6,40.6,43,44.5,45.7
"48","Solano",0,2.4,8.9,21.2,35.6,45.1,50.3,52.4,55.5,58.7,60.7,62.4
"49","Sonoma",0,2.3,10.6,27.8,45,56.9,62.2,64.5,67.4,69.6,71,72.5
"50","Stanislaus",0,1.3,6.4,13.1,21.6,27.5,31.8,34.2,37.4,41.2,43.7,45.8
"51","Sutter",0,1.4,6.5,17.2,26.9,33,37.3,39.6,42.6,46.4,48.6,50
"52","Tehama",0,0.8,6.7,12.2,22.5,26.3,29.1,30.7,32.9,35.8,37.7,39.1
"53","Trinity",0,0.8,3.1,15.9,23.9,30.2,33.5,35.6,37.3,39.3,40.7,41.8
"54","Tulare",0,1.2,5.6,14.9,26,30.8,33.9,35.9,38.8,42.4,44.7,46.5
"55","Tuolumne",0,2,9.2,24.5,34.7,40.6,43,44.5,46.6,49.5,51,51.9
