Geography,Geographic Area Name,totalpop,hispanic_latino,white,black,american_indian,asian,native_hawaiian,other
1400000US06001400100,"Census Tract 4001, Alameda County, California",3038,205,1840,140,0,538,10,49
1400000US06001400200,"Census Tract 4002, Alameda County, California",2001,207,1383,39,0,190,2,14
1400000US06001400300,"Census Tract 4003, Alameda County, California",5504,547,3293,544,11,540,23,37
1400000US06001400400,"Census Tract 4004, Alameda County, California",4112,374,2676,283,6,386,8,29
1400000US06001400500,"Census Tract 4005, Alameda County, California",3644,437,1898,617,8,304,5,38
1400000US06001400600,"Census Tract 4006, Alameda County, California",1788,188,809,428,5,125,1,42
1400000US06001400700,"Census Tract 4007, Alameda County, California",4508,633,1842,1198,10,406,9,52
1400000US06001400800,"Census Tract 4008, Alameda County, California",3917,500,1531,970,8,574,17,40
1400000US06001400900,"Census Tract 4009, Alameda County, California",2514,374,1023,619,4,243,3,24
1400000US06001401000,"Census Tract 4010, Alameda County, California",6097,977,2188,1829,13,566,32,49
1400000US06001401100,"Census Tract 4011, Alameda County, California",4966,701,2257,921,35,634,20,43
1400000US06001401200,"Census Tract 4012, Alameda County, California",2989,388,1654,288,5,357,16,16
1400000US06001401300,"Census Tract 4013, Alameda County, California",5887,1121,1945,1215,55,1029,113,44
1400000US06001401400,"Census Tract 4014, Alameda County, California",5355,1283,1426,1578,42,575,46,47
1400000US06001401500,"Census Tract 4015, Alameda County, California",2661,474,819,946,2,188,4,27
1400000US06001401600,"Census Tract 4016, Alameda County, California",2971,791,801,793,22,283,38,43
1400000US06001401700,"Census Tract 4017, Alameda County, California",6121,1585,1861,1265,40,776,117,47
1400000US06001401800,"Census Tract 4018, Alameda County, California",1981,403,496,822,8,96,8,26
1400000US06001402200,"Census Tract 4022, Alameda County, California",3250,924,879,841,15,341,42,26
1400000US06001402400,"Census Tract 4024, Alameda County, California",2459,359,553,971,6,397,5,20
1400000US06001402500,"Census Tract 4025, Alameda County, California",2010,169,402,1014,2,204,10,37
1400000US06001402600,"Census Tract 4026, Alameda County, California",1226,113,214,324,4,505,4,3
1400000US06001402700,"Census Tract 4027, Alameda County, California",1827,364,414,732,2,180,7,26
1400000US06001402801,"Census Tract 4028.01, Alameda County, California",2941,267,725,1005,2,754,2,13
1400000US06001402802,"Census Tract 4028.02, Alameda County, California",1453,165,311,565,14,281,20,7
1400000US06001402900,"Census Tract 4029, Alameda County, California",1917,207,559,326,0,730,0,0
1400000US06001403000,"Census Tract 4030, Alameda County, California",3007,95,238,122,4,2472,7,4
1400000US06001403100,"Census Tract 4031, Alameda County, California",1690,153,458,236,0,732,5,10
1400000US06001403301,"Census Tract 4033.01, Alameda County, California",1999,107,186,221,0,1413,4,5
1400000US06001403302,"Census Tract 4033.02, Alameda County, California",3220,413,1261,403,7,843,20,23
1400000US06001403401,"Census Tract 4034.01, Alameda County, California",3031,391,1178,443,0,817,17,19
1400000US06001403402,"Census Tract 4034.02, Alameda County, California",1524,202,463,319,10,401,4,24
1400000US06001403501,"Census Tract 4035.01, Alameda County, California",5880,608,2105,1320,26,1368,25,40
1400000US06001403502,"Census Tract 4035.02, Alameda County, California",2148,303,996,367,3,300,4,12
1400000US06001403600,"Census Tract 4036, Alameda County, California",4717,569,1830,1259,3,637,13,37
1400000US06001403701,"Census Tract 4037.01, Alameda County, California",2786,340,1392,406,5,432,5,24
1400000US06001403702,"Census Tract 4037.02, Alameda County, California",2149,218,1068,389,3,293,5,22
1400000US06001403800,"Census Tract 4038, Alameda County, California",3710,403,2158,319,2,481,9,22
1400000US06001403900,"Census Tract 4039, Alameda County, California",3943,468,2110,488,6,550,7,38
1400000US06001404000,"Census Tract 4040, Alameda County, California",3049,372,1592,366,9,436,3,21
1400000US06001404101,"Census Tract 4041.01, Alameda County, California",3139,352,1945,186,4,384,0,33
1400000US06001404102,"Census Tract 4041.02, Alameda County, California",2516,259,1549,181,8,345,0,15
1400000US06001404200,"Census Tract 4042, Alameda County, California",3641,301,2307,191,5,504,0,18
1400000US06001404300,"Census Tract 4043, Alameda County, California",3416,229,2261,115,5,489,0,17
1400000US06001404400,"Census Tract 4044, Alameda County, California",5621,456,3345,269,9,940,6,51
1400000US06001404501,"Census Tract 4045.01, Alameda County, California",1771,123,1173,65,1,228,3,23
1400000US06001404502,"Census Tract 4045.02, Alameda County, California",6194,551,3911,367,7,774,4,35
1400000US06001404600,"Census Tract 4046, Alameda County, California",4551,382,2940,218,4,556,3,33
1400000US06001404700,"Census Tract 4047, Alameda County, California",1982,185,1239,151,3,197,7,18
1400000US06001404800,"Census Tract 4048, Alameda County, California",2757,476,1246,360,8,418,15,13
1400000US06001404900,"Census Tract 4049, Alameda County, California",4458,527,2281,483,8,757,14,24
1400000US06001405000,"Census Tract 4050, Alameda County, California",3313,317,2036,224,1,412,0,21
1400000US06001405100,"Census Tract 4051, Alameda County, California",4363,349,2752,368,4,483,3,42
1400000US06001405200,"Census Tract 4052, Alameda County, California",4839,625,1900,569,20,1238,9,35
1400000US06001405301,"Census Tract 4053.01, Alameda County, California",2991,525,1246,484,10,461,7,24
1400000US06001405302,"Census Tract 4053.02, Alameda County, California",2797,391,821,428,2,970,2,16
1400000US06001405401,"Census Tract 4054.01, Alameda County, California",3875,753,698,655,13,1541,10,30
1400000US06001405402,"Census Tract 4054.02, Alameda County, California",3171,727,439,596,14,1228,5,6
1400000US06001405500,"Census Tract 4055, Alameda County, California",3844,663,849,641,17,1464,8,19
1400000US06001405600,"Census Tract 4056, Alameda County, California",3224,522,901,536,14,1026,7,19
1400000US06001405700,"Census Tract 4057, Alameda County, California",3423,659,579,835,15,1108,5,24
1400000US06001405800,"Census Tract 4058, Alameda County, California",4320,896,476,695,2,2017,22,38
1400000US06001405901,"Census Tract 4059.01, Alameda County, California",4279,1805,289,541,23,1467,16,16
1400000US06001405902,"Census Tract 4059.02, Alameda County, California",3181,827,280,442,10,1513,9,13
1400000US06001406000,"Census Tract 4060, Alameda County, California",5223,1216,1128,786,42,1726,69,34
1400000US06001406100,"Census Tract 4061, Alameda County, California",5887,2872,1173,804,41,701,47,30
1400000US06001406201,"Census Tract 4062.01, Alameda County, California",5019,2447,286,637,20,1454,11,13
1400000US06001406202,"Census Tract 4062.02, Alameda County, California",4769,3114,313,514,39,644,14,28
1400000US06001406300,"Census Tract 4063, Alameda County, California",3989,1424,461,652,8,1273,32,22
1400000US06001406400,"Census Tract 4064, Alameda County, California",2211,489,553,506,2,507,6,8
1400000US06001406500,"Census Tract 4065, Alameda County, California",6196,2966,592,995,22,1328,24,31
1400000US06001406601,"Census Tract 4066.01, Alameda County, California",4834,1306,802,1081,15,1299,21,30
1400000US06001406602,"Census Tract 4066.02, Alameda County, California",2554,798,410,577,7,594,34,9
1400000US06001406700,"Census Tract 4067, Alameda County, California",5567,695,2650,726,18,957,30,43
1400000US06001406800,"Census Tract 4068, Alameda County, California",3569,535,1393,483,10,841,19,17
1400000US06001406900,"Census Tract 4069, Alameda County, California",3839,662,1395,712,17,707,17,23
1400000US06001407000,"Census Tract 4070, Alameda County, California",6079,2076,883,1165,30,1606,35,49
1400000US06001407101,"Census Tract 4071.01, Alameda County, California",3558,1954,311,484,6,671,10,16
1400000US06001407102,"Census Tract 4071.02, Alameda County, California",4382,2057,531,653,18,904,20,16
1400000US06001407200,"Census Tract 4072, Alameda County, California",6823,4974,525,414,41,733,3,24
1400000US06001407300,"Census Tract 4073, Alameda County, California",3943,2173,655,582,24,268,66,21
1400000US06001407400,"Census Tract 4074, Alameda County, California",4412,2971,142,757,16,395,10,13
1400000US06001407500,"Census Tract 4075, Alameda County, California",4383,2545,230,1101,16,269,66,22
1400000US06001407600,"Census Tract 4076, Alameda County, California",6390,2401,1052,1794,28,664,72,37
1400000US06001407700,"Census Tract 4077, Alameda County, California",4465,798,1284,1621,11,365,12,36
1400000US06001407800,"Census Tract 4078, Alameda County, California",2373,538,755,640,3,223,9,20
1400000US06001407900,"Census Tract 4079, Alameda County, California",3081,544,1154,565,5,479,19,29
1400000US06001408000,"Census Tract 4080, Alameda County, California",2630,237,1380,292,0,501,5,12
1400000US06001408100,"Census Tract 4081, Alameda County, California",6712,709,2275,1630,3,1492,24,33
1400000US06001408200,"Census Tract 4082, Alameda County, California",4471,1221,857,1749,22,275,10,41
1400000US06001408300,"Census Tract 4083, Alameda County, California",4791,1219,1169,1592,8,371,36,38
1400000US06001408400,"Census Tract 4084, Alameda County, California",3927,1985,170,1444,16,113,42,34
1400000US06001408500,"Census Tract 4085, Alameda County, California",5752,3096,205,1980,24,174,76,23
1400000US06001408600,"Census Tract 4086, Alameda County, California",6167,3228,312,2031,11,264,57,31
1400000US06001408700,"Census Tract 4087, Alameda County, California",7774,3762,530,2742,11,365,45,39
1400000US06001408800,"Census Tract 4088, Alameda County, California",7257,3518,450,2305,31,592,82,34
1400000US06001408900,"Census Tract 4089, Alameda County, California",3857,2514,143,923,11,155,19,13
1400000US06001409000,"Census Tract 4090, Alameda County, California",4879,2555,365,1425,27,292,73,41
1400000US06001409100,"Census Tract 4091, Alameda County, California",2472,1527,50,629,18,122,53,10
1400000US06001409200,"Census Tract 4092, Alameda County, California",3755,2310,101,927,21,213,59,28
1400000US06001409300,"Census Tract 4093, Alameda County, California",5701,3781,235,1287,10,196,27,47
1400000US06001409400,"Census Tract 4094, Alameda County, California",5379,3784,181,858,18,388,54,23
1400000US06001409500,"Census Tract 4095, Alameda County, California",4390,2804,246,994,15,176,42,31
1400000US06001409600,"Census Tract 4096, Alameda County, California",5777,3925,142,1309,10,167,59,18
1400000US06001409700,"Census Tract 4097, Alameda County, California",5523,2779,159,1980,14,219,135,27
1400000US06001409800,"Census Tract 4098, Alameda County, California",3220,594,492,1640,8,222,20,29
1400000US06001409900,"Census Tract 4099, Alameda County, California",3546,375,997,1514,11,367,9,26
1400000US06001410000,"Census Tract 4100, Alameda County, California",3031,418,953,1167,1,267,1,26
1400000US06001410100,"Census Tract 4101, Alameda County, California",2925,794,310,1384,5,201,48,26
1400000US06001410200,"Census Tract 4102, Alameda County, California",3679,1597,212,1410,6,234,65,24
1400000US06001410300,"Census Tract 4103, Alameda County, California",4036,2816,73,832,4,131,80,8
1400000US06001410400,"Census Tract 4104, Alameda County, California",4142,1955,247,1291,7,453,18,27
1400000US06001410500,"Census Tract 4105, Alameda County, California",2553,336,426,1306,9,268,25,15
1400000US06001420100,"Census Tract 4201, Alameda County, California",2436,246,1343,40,1,585,2,33
1400000US06001420200,"Census Tract 4202, Alameda County, California",3234,381,1185,96,3,1273,2,8
1400000US06001420301,"Census Tract 4203.01, Alameda County, California",2593,191,826,107,0,1294,0,7
