county,totalpop,white,black,native_indian_american,asian,native_hawaiian,other
Alameda,1682353,472277,159499,4131,540511,13209,10440
Alpine,1204,801,10,214,12,0,7
Amador,40474,29725,1215,577,554,73,249
Butte,211632,139651,3320,3050,10333,508,1184
Calaveras,45292,34668,334,497,706,75,268
Colusa,21839,6941,182,280,252,70,92
Contra Costa,1165927,455421,97994,2553,214520,5720,8366
Del Norte,27743,16262,841,2136,826,28,122
El Dorado,191185,140141,1436,1273,9024,276,1215
Fresno,1008654,271889,44295,6074,109665,1233,5209
Glenn,28917,13897,140,531,626,39,144
Humboldt,136463,93316,1729,7454,3495,436,1091
Imperial,179702,16813,3846,1584,2244,82,519
Inyo,19016,11035,85,2189,273,13,87
Kern,909235,279600,46776,5197,44257,1127,4557
Kings,152486,44361,8300,1690,5511,331,713
Lake,68163,44202,1158,1737,940,89,386
Lassen,32730,19534,2244,939,472,283,142
Los Angeles,10014009,2563609,760689,18453,1474237,20522,58683
Madera,156255,48399,4131,1738,3581,122,723
Marin,262321,173149,6120,555,16175,457,2040
Mariposa,17131,12838,105,410,287,15,114
Mendocino,91601,56205,607,3528,1730,110,592
Merced,281202,68729,8191,1164,19824,617,1242
Modoc,8700,6446,66,387,61,13,56
Mono,13195,8679,68,177,159,26,78
Monterey,439035,120077,9051,1314,25123,1859,2170
Napa,138019,68909,2300,507,10520,316,910
Nevada,102241,82810,416,695,1371,119,617
Orange,3186989,1198655,49304,5298,699124,7714,14818
Placer,404739,272471,6440,2010,34776,967,2091
Plumas,19790,15999,102,382,145,40,114
Riverside,2418185,788235,146762,11960,164889,6767,12365
Sacramento,1585055,650271,145724,7432,276295,18011,10104
San Benito,64209,19785,479,221,2189,127,332
San Bernardino,2181654,566113,173322,8412,176204,6173,12117
San Diego,3298634,1422205,145014,12841,400589,12991,18125
San Francisco,873965,341306,45071,1570,294220,3244,6347
San Joaquin,779233,215530,56898,3135,134684,4977,4192
San Luis Obispo,282424,183468,4330,1136,10001,340,1614
San Mateo,764442,275902,14701,1021,227783,8840,5840
Santa Barbara,448229,184746,6467,1731,25378,542,2378
Santa Clara,1936259,555708,42148,3240,753399,5945,10195
Santa Cruz,270861,145551,2850,853,12072,277,1649
Shasta,182155,136894,1761,4047,5839,323,1037
Sierra,3236,2615,7,18,7,1,25
Siskiyou,44076,32057,471,1757,866,38,265
Solano,453491,155125,60051,1624,70953,3775,2988
Sonoma,488863,285792,7125,3053,22239,1708,2909
Stanislaus,552878,207908,14302,2621,33169,3713,2734
Sutter,99633,41366,1774,862,18014,279,611
Tehama,65829,41340,391,1167,985,96,324
Trinity,16112,11374,66,416,2212,24,106
Tulare,473117,125022,5332,3458,15997,511,2132
Tuolumne,55620,42254,989,784,770,110,313
Ventura,843843,360850,13704,2020,63252,1415,4451
Yolo,216403,93911,5722,948,29872,1079,1278
Yuba,81575,41750,2831,1034,5583,372,459
