"","state","Jan_vax","Feb_vax","Mar_vax","Apr_vax","May_vax","Jun_vax","Jul_vax","Aug_vax","Sep_vax","Oct_vax","Nov_vax","Dec_vax"
"1","Alabama",0.28,9.245,10.22,18.21,27.49,30.62,33.55,35.38,40.55,43.79,45.48,47.01
"2","Alaska",1.29,16.04,18.12,30.79,37.68,41.15,44.74,46.18,48.54,51.53,53.5,55.67
"3","Arizona",0.29,11.62,12.55,22.95,33.24,38.13,44.26,46.43,49.9,52.12,53.97,56.11
"4","Arkansas",0.62,10.35,10.38,20.08,29.04,32.66,35.13,38.62,43.99,46.68,48.75,50.44
"5","California",0.52,11.595,10.13,22.67,37.72,46.84,51.4,54.21,57.4,60.15,62.33,37.3575
"6","Colorado",0.82,12.385,12.51,23.95,40.55,48.53,53.25,55.54,58.18,60.49,62.45,65.2
"7","Connecticut",0.48,15.09,14.3,29.7,47.63,57.56,62.02,64.45,67.35,69.78,71.42,73.87
"8","Delaware",0.55,12.045,12.4,23.54,38.78,46.57,51.43,53.74,56.5,58.85,60.52,63.2
"9","Florida",0.35,11.395,11.42,22.44,35.42,42.69,47.33,50.35,55.41,58.67,60.57,62.6
"10","Georgia",0.21,8.75,9.84,17.29,29.15,33.87,37.49,39.42,43.53,47,48.8,50.19
"11","Hawaii",0.51,13.65,14.69,26.79,43.06,49.78,52.79,54.29,56.57,58.91,60.41,35.72
"12","Idaho",0.49,11.03,11.87,21.57,30.61,34.61,36.78,38.07,40.36,42.71,44.64,45.84
"13","Illinois",0.72,11.99,11.9,23.26,36.02,43.11,47.43,49.72,25.14,18.095,15.3925,18.46625
"14","Indiana",0.56,11.05,12.69,21.54,32.1,38.13,43.3,45.09,47.27,49.19,50.27,51.52
"15","Iowa",0.34,13.46,13.42,26.58,40.14,46.16,48.85,50.41,52.92,54.79,56.12,58.2
"16","Kansas",0.46,12.415,11.3,24.37,36.19,40.22,42.81,46.44,49.76,52.24,53.97,56.07
"17","Kentucky",0.24,12.895,11.98,25.55,35.89,40.99,44.58,46.75,49.125,51.3225,51.5,53.52
"18","Louisiana",0.65,11.275,11.83,21.9,29.5,33.11,35.97,38.34,43.61,46.56,48.31,49.65
"19","Maine",0.62,15.745,14.17,30.87,48.65,58.74,62.68,64.6,67.09,69.53,71.46,74.65
"20","Maryland",0.26,13.095,12.45,25.93,41.9,52.25,57.54,59.99,62.87,65.18,66.71,69.49
"21","Massachusetts",0.51,13.985,13.13,27.46,46.04,58.29,62.87,64.75,66.96,68.77,70.44,73.5
"22","Michigan",0.49,12.38,11.62,24.27,38.22,44.91,48.06,49.56,51.31,52.86,54.1,55.99
"23","Minnesota",0.49,13.765,13.03,27.04,41.04,49.05,52.88,54.57,57.16,59.03,61.87,64.52
"24","Mississippi",0.28,10.21,11.06,20.14,25.78,28.49,33.64,35.77,41.49,44.69,46.4,47.79
"25","Missouri",0.6,11.075,10.55,21.55,32,36.67,39.95,43.19,46.58,48.95,50.43,52.33
"26","Montana",0.77,13.355,14.12,25.94,36.03,40.8,43.65,44.98,47.3,49.43,51.19,53.09
"27","Nebraska",0.67,13.49,12.99,26.31,39.08,44.59,48.51,50.43,53.38,55.5,56.8,59.04
"28","Nevada",0.5,11.525,11.7,22.55,33.39,39.24,43.14,45.84,49.38,51.83,53.83,55.66
"29","New Hampshire",0.42,13.57,11.63,26.72,42.1,53.69,57.48,58.83,60.8,62.27,63.66,38.9525
"30","New Jersey",0.41,14.245,12.44,28.08,43.79,51.735,56.72,59.68,63.02,65.4,67.12,69.53
"31","New Mexico",0.89,15.715,16.87,30.54,43.24,50.6,55.94,58.17,61.58,63.425,62.9,65.27
"32","New York",0.38,13.655,10.83,26.93,42.11,50.59,55.67,58.37,61.97,65.27,67.65,70.65
"33","North Carolina",0.41,11.725,11.95,23.04,33.83,37.98,42.79,44.72,48.15,51.58,53.5,55.67
"34","North Dakota",0.99,14.45,14.9,27.91,35.08,37.74,39.48,40.76,42.83,45.25,48.17,51.76
"35","Ohio",0.12,12.205,12.21,24.29,37.37,42.56,45.63,47.3,49.9,51.09,52.5,54.51
"36","Oklahoma",0.73,12.685,13.07,24.64,32.2,36.15,39.3,41.54,45.85,48.86,50.9,52.71
"37","Oregon",0.3,11.865,12.05,23.43,38.33,50.02,54.95,56.79,59.39,61.96,63.49,65.64
"38","Pennsylvania",0.52,12.45,11.11,24.38,38.62,47.21,50.97,53.63,56.54,59.22,29.995,22.79
"39","Rhode Island",0.77,15.585,11.06,30.4,45.49,55.74,60.21,62.64,66.44,69.69,71.73,75.18
"40","South Carolina",0.38,10.975,11.38,21.57,31.39,36.12,39.66,41.65,45.28,48.83,50.78,52.44
"41","South Dakota",1.09,15.285,15.62,29.48,41.01,44.07,46.16,47.86,50.41,53.275,53.69,56.14
"42","Tennessee",0.55,9.75,9.82,18.95,29.25,33.76,38.22,40.11,43.68,46.73,48.84,50.53
"43","Texas",0.54,10.89,9.89,21.24,31.95,38.32,42.56,45.27,49.37,52.33,54.07,56.13
"44","Utah",0.33,9.13,8.3,17.93,28.97,35.39,43.63,48.04,49,52.45,54.51,57.43
"45","Vermont",0.66,14.875,12.85,29.09,46.06,62.66,65.69,67.03,68.72,70.43,72.12,75.81
"46","Virginia",0.33,12.39,12.75,24.45,40,48.82,53.24,55.61,58.74,61.88,64.08,66.97
"47","Washington",0.41,12.885,12.54,25.36,39.45,51.07,56.3,58.79,61.5,62.4,64.21,66.91
"48","West Virginia",1.18,13.075,14.57,24.97,32.77,35.76,38.75,39.3,40,40.79,41.17,27.3375
"49","Wisconsin",0.29,13.505,12.94,26.72,41.25,46.92,50.88,52.55,55.2,57.5,58.98,61.11
"50","Wyoming",0.48,11.97,14.02,23.46,30.34,33.23,35.91,37.3,40.25,42.9,44.79,46.74
