date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
15/01/2021,Alabama,100567,444650,86956,0.28,2.05,13488,1.77,9.07,8267,7478,1525,0.226,,
15/02/2021,Alabama,,,,,,,,,,22405,4569,,,
15/03/2021,Alabama,1306419,1918560,854302,10.22,26.64,501344,17.42,39.13,7807,27106,5528,0.681,,
15/04/2021,Alabama,2207392,3516420,1442051,18.21,45.02,893002,29.41,71.72,38501,33007,6732,0.628,,
15/05/2021,Alabama,2881314,4373130,1697289,27.49,58.76,1348023,34.62,89.19,21723,17613,3592,0.659,,
15/06/2021,Alabama,3129657,4686280,1816769,30.62,63.83,1501171,37.05,95.58,1545,13261,2705,0.668,,
15/07/2021,Alabama,3448153,4895780,2009200,33.55,70.32,1645083,40.98,99.85,13654,6524,1331,0.704,,
15/08/2021,Alabama,3792348,5554810,2275050,35.38,77.34,1734722,46.4,113.29,22914,13252,2703,0.683,,
15/09/2021,Alabama,4342220,6485880,2520979,40.55,88.56,1988025,51.42,132.28,12692,12798,2610,0.669,,
15/10/2021,Alabama,4677864,6916550,2622428,43.79,95.4,2147033,53.48,141.06,8241,7567,1543,0.676,50387,1.03
15/11/2021,Alabama,5056706,7679330,2718301,45.48,103.13,2230181,55.44,156.62,9885,12179,2484,0.658,256328,5.23
15/12/2021,Alabama,5460176,8050350,2828316,47.01,111.36,2304915,57.68,164.19,10971,12461,2541,0.678,480227,9.79
15/01/2021,Alaska,49039,150450,39546,1.29,6.7,9406,5.41,20.57,6443,4400,6015,0.326,,
15/02/2021,Alaska,,,,,,,,,,5212,7125,,,
15/03/2021,Alaska,337141,472395,205256,18.12,46.09,132532,28.06,64.57,3784,5571,7615,0.714,,
15/04/2021,Alaska,499815,729305,284193,30.79,68.32,225221,38.85,99.69,73,8075,11038,0.685,,
15/05/2021,Alaska,583641,792755,318593,37.68,79.78,275681,43.55,108.37,2860,1760,2406,0.736,,
15/06/2021,Alaska,633467,822445,346864,41.15,86.59,301029,47.42,112.43,899,1443,1973,0.77,,
15/07/2021,Alaska,685764,842105,370116,44.74,93.74,327289,50.59,115.11,1011,918,1255,0.814,,
15/08/2021,Alaska,709232,882985,385053,46.18,96.95,337807,52.64,120.7,74,725,991,0.803,,
15/09/2021,Alaska,759522,1006435,410256,48.54,103.82,355111,56.08,137.58,1204,1710,2338,0.755,24660,3.37
15/10/2021,Alaska,823566,1108945,426234,51.53,112.58,376935,58.26,151.59,2863,1904,2603,0.743,53251,7.28
15/11/2021,Alaska,920191,1240245,447338,53.5,125.79,391340,61.15,169.54,2739,3242,4432,0.742,116633,15.94
15/12/2021,Alaska,998574,1311475,469553,55.67,136.5,407250,64.19,179.27,1995,2302,3147,0.761,158349,21.65
15/01/2021,Arizona,197086,571725,176213,0.29,2.71,20837,2.42,7.85,23421,18577,2552,0.345,,
15/02/2021,Arizona,,,,,,,,,,40122,5512,,,
15/03/2021,Arizona,2605621,3024585,1629972,12.55,35.8,913522,22.39,41.55,47991,55772,7662,0.861,,
15/04/2021,Arizona,4306602,5476875,2635334,22.95,59.17,1670496,36.21,75.25,55812,57918,7957,0.786,,
15/05/2021,Arizona,5558091,7465065,3157721,33.24,76.36,2419252,43.38,102.56,36695,31519,4330,0.745,,
15/06/2021,Arizona,6236785,7946275,3495144,38.13,85.69,2775508,48.02,109.17,15583,18926,2600,0.785,,
15/07/2021,Arizona,6918832,8277360,3752339,44.26,95.06,3221874,51.55,113.72,10997,10840,1489,0.836,,
15/08/2021,Arizona,7323382,8881820,4001959,46.43,100.61,3379160,54.98,122.02,14535,16307,2240,0.825,,
15/09/2021,Arizona,8012829,9655990,4238085,49.9,110.09,3632266,58.23,132.66,11063,13615,1871,0.83,416206,5.72
15/10/2021,Arizona,8483111,10301590,4385129,52.12,116.55,3793586,60.25,141.53,18966,16091,2211,0.823,589446,8.1
15/11/2021,Arizona,9195974,11456920,4555875,53.97,126.34,3928142,62.59,157.4,29688,27753,3813,0.803,1010629,13.88
15/12/2021,Arizona,10107688,12240490,4801858,56.11,138.87,4084304,65.97,168.17,29706,34076,4682,0.826,1532555,21.06
15/01/2021,Arkansas,118338,297800,97829,0.62,3.92,18781,3.24,9.87,10022,25820,8556,0.397,,
15/02/2021,Arkansas,,,,,,,,,,10903,3613,,,
15/03/2021,Arkansas,892588,1251620,586266,10.38,29.58,313372,19.43,41.47,9958,17033,5644,0.713,,
15/04/2021,Arkansas,1535135,2251270,978137,20.08,50.87,606113,32.41,74.6,26840,22221,7363,0.682,,
15/05/2021,Arkansas,1954605,2720090,1129189,29.04,64.77,876239,37.42,90.13,15607,9848,3263,0.719,,
15/06/2021,Arkansas,2155399,2803630,1229128,32.66,71.42,985595,40.73,92.9,3799,5469,1812,0.769,,
15/07/2021,Arkansas,2304153,2880270,1309002,35.13,76.35,1060174,43.38,95.44,6197,5006,1659,0.8,,
15/08/2021,Arkansas,2623952,3348790,1529378,38.62,86.95,1165348,50.68,110.97,14779,11023,3653,0.784,,
15/09/2021,Arkansas,2923649,3887730,1650867,43.99,96.88,1327589,54.7,128.83,7090,7839,2598,0.752,39277,1.3
15/10/2021,Arkansas,3127432,4207770,1707765,46.68,103.63,1408814,56.59,139.43,6631,6016,1994,0.743,108972,3.61
15/11/2021,Arkansas,3403483,4743740,1788415,48.75,112.78,1471272,59.26,157.19,5566,10446,3461,0.717,246354,8.16
15/12/2021,Arkansas,3680723,4981130,1863231,50.44,121.97,1522070,61.74,165.06,242,8724,2891,0.739,401949,13.32
15/01/2021,California,1072959,3548575,865387,0.52,2.72,204374,2.19,8.98,97666,85553,2165,0.302,,
15/02/2021,California,,,,,,,,,,190404,4819,,,
15/03/2021,California,12306608,16376020,8287692,10.13,31.15,4002159,20.98,41.45,423233,214448,5427,0.752,,
15/04/2021,California,24242205,31427050,16125197,22.67,61.35,8959332,40.81,79.54,520979,428384,10842,0.771,,
15/05/2021,California,34715312,44241580,20838068,37.72,87.86,14904046,52.74,111.97,395362,279347,7070,0.785,,
15/06/2021,California,40669793,48312800,23370026,46.84,102.93,18507541,59.15,122.27,130021,148077,3748,0.842,,
15/07/2021,California,43868821,49823455,24865725,51.4,111.03,20309600,62.93,126.1,101382,80247,2031,0.88,,
15/08/2021,California,46466637,52593245,26425744,54.21,117.6,21420762,66.88,133.11,88454,82240,2081,0.884,,
15/09/2021,California,49288453,57200015,27783996,57.4,124.74,22680963,70.32,144.77,80963,84876,2148,0.862,623887,1.58
15/10/2021,California,52292153,60343875,28896158,60.15,132.34,23767443,73.13,152.72,114716,101239,2562,0.867,1506699,3.81
15/11/2021,California,57054577,67802905,30330016,62.33,144.4,24629034,76.76,171.6,452556,205403,5198,0.841,4051877,10.25
15/12/2021,California,,,,,,,,,,146626,3711,,,
15/01/2021,Colorado,272233,531775,223761,0.82,4.73,47021,3.89,9.23,17527,15935,2767,0.512,,
15/02/2021,Colorado,,,,,,,,,,30249,5253,,,
15/03/2021,Colorado,1933717,2345060,1232096,12.51,33.58,720482,21.4,40.72,55078,43751,7597,0.825,,
15/04/2021,Colorado,3583563,4417200,2312508,23.95,62.23,1379177,40.16,76.7,55782,64837,11259,0.811,,
15/05/2021,Colorado,5109459,6403480,2880006,40.55,88.73,2335422,50.01,111.2,44362,41545,7214,0.798,,
15/06/2021,Colorado,5903574,6904110,3235921,48.53,102.52,2794824,56.19,119.89,21911,17898,3108,0.855,,
15/07/2021,Colorado,6331710,7113825,3397206,53.25,109.95,3066574,58.99,123.53,9618,9445,1640,0.89,,
15/08/2021,Colorado,6629016,7408845,3564363,55.54,115.11,3198494,61.89,128.65,9768,10533,1829,0.895,,
15/09/2021,Colorado,6996558,8021295,3717919,58.18,121.49,3350518,64.56,139.29,7871,11831,2054,0.872,185399,3.22
15/10/2021,Colorado,7414710,8531255,3830825,60.49,128.76,3483217,66.52,148.14,15238,14870,2582,0.869,370470,6.43
15/11/2021,Colorado,8182899,9635355,3996263,62.45,142.1,3596545,69.39,167.32,53482,30770,5343,0.849,873972,15.18
15/12/2021,Colorado,9127029,10627255,4212772,65.2,158.49,3754553,73.15,184.54,32333,32781,5692,0.859,1454711,25.26
15/01/2021,Connecticut,185866,328775,166722,0.48,5.21,17162,4.68,9.22,13969,11490,3223,0.565,,
15/02/2021,Connecticut,,,,,,,,,,21501,6031,,,
15/03/2021,Connecticut,1442439,1659085,952509,14.3,40.46,509812,26.72,46.53,30907,30511,8558,0.869,,
15/04/2021,Connecticut,2612551,3247275,1654786,29.7,73.28,1058759,46.41,91.08,40546,47576,13344,0.805,,
15/05/2021,Connecticut,3669074,4238825,2089008,47.63,102.91,1698193,58.59,118.89,31523,27722,7776,0.866,,
15/06/2021,Connecticut,4243320,4645465,2328132,57.56,119.02,2052314,65.3,130.3,18226,14677,4117,0.913,,
15/07/2021,Connecticut,4493769,4792615,2432435,62.02,126.04,2211353,68.23,134.42,6703,5967,1674,0.938,,
15/08/2021,Connecticut,4693787,5084695,2557518,64.45,131.65,2297774,71.73,142.62,7280,7031,1972,0.923,,
15/09/2021,Connecticut,4922785,5492115,2670089,67.35,138.08,2401081,74.89,154.04,5731,7162,2009,0.896,52614,1.48
15/10/2021,Connecticut,5206763,5838045,2765794,69.78,146.04,2487939,77.58,163.75,11586,9774,2741,0.892,160341,4.5
15/11/2021,Connecticut,5717414,6560075,2907505,71.42,160.36,2546336,81.55,184,24399,20238,5676,0.872,477736,13.4
15/12/2021,Connecticut,6374882,7184835,3086161,73.87,178.8,2633582,86.56,201.52,45925,28439,7977,0.887,875808,24.56
15/01/2021,Delaware,31090,91250,25649,0.55,3.19,5354,2.63,9.37,0,1560,1602,0.341,,
15/02/2021,Delaware,,,,,,,,,,3252,3340,,,
15/03/2021,Delaware,333896,422015,208306,12.4,34.29,120782,21.39,43.34,16106,7603,7808,0.791,,
15/04/2021,Delaware,612195,792825,388589,23.54,62.87,229230,39.91,81.42,12513,10796,11087,0.772,,
15/05/2021,Delaware,856073,1122975,490115,38.78,87.91,377646,50.33,115.32,4710,5481,5629,0.762,,
15/06/2021,Delaware,990471,1258695,551054,46.57,101.72,453498,56.59,129.26,3923,3405,3497,0.787,,
15/07/2021,Delaware,1063514,1302555,577058,51.43,109.22,500817,59.26,133.76,1656,1611,1654,0.816,,
15/08/2021,Delaware,1115654,1381315,606921,53.74,114.57,523315,62.33,141.85,25,1563,1605,0.808,,
15/09/2021,Delaware,1176098,1515635,634741,56.5,120.78,550184,65.18,155.65,147,1411,1449,0.776,40570,4.17
15/10/2021,Delaware,1251151,1608695,659706,58.85,128.49,573019,67.75,165.2,2963,2391,2455,0.778,69219,7.11
15/11/2021,Delaware,1349854,1824855,683950,60.52,138.62,589353,70.24,187.4,152,3631,3729,0.74,128593,13.21
15/12/2021,Delaware,1528187,1934125,732187,63.2,156.94,615391,75.19,198.62,18325,5764,5919,0.79,234548,24.09
15/01/2021,Florida,853081,2069175,776430,0.35,3.97,74776,3.62,9.63,78596,73214,3409,0.412,,
15/02/2021,Florida,,,,,,,,,,132271,6159,,,
15/03/2021,Florida,7116355,9145275,4388959,11.42,33.13,2451940,20.43,42.58,8069,173075,8058,0.778,,
15/04/2021,Florida,12550868,17004215,7768818,22.44,58.44,4819498,36.17,79.17,248339,207087,9642,0.738,,
15/05/2021,Florida,17325840,22546275,9809136,35.42,80.67,7607709,45.67,104.98,272958,153406,7143,0.768,,
15/06/2021,Florida,19994471,24284695,11084450,42.69,93.09,9169529,51.61,113.07,75989,99024,4611,0.823,,
15/07/2021,Florida,21687158,25305935,11849710,47.33,100.98,10166351,55.17,117.82,47739,42099,1960,0.857,,
15/08/2021,Florida,23606283,28156095,13134345,50.35,109.91,10813286,61.15,131.09,84442,69997,3259,0.838,,
15/09/2021,Florida,25947973,31717365,14107610,55.41,120.81,11900631,65.68,147.68,57056,64174,2988,0.818,1109606,5.17
15/10/2021,Florida,27656592,33905855,14603834,58.67,128.77,12601523,68,157.87,53662,49318,2296,0.816,1655191,7.71
15/11/2021,Florida,29788323,37506095,15131145,60.57,138.69,13009599,70.45,174.63,77589,89369,4161,0.794,2899073,13.5
15/12/2021,Florida,32476162,40092675,15730503,62.6,151.21,13445468,73.24,186.67,90583,105355,4905,0.81,4589884,21.37
15/01/2021,Georgia,231305,1011200,204301,0.21,2.18,22324,1.92,9.52,0,20245,1907,0.229,,
15/02/2021,Georgia,,,,,,,,,,41120,3873,,,
15/03/2021,Georgia,2790084,3981815,1689912,9.84,26.28,1044640,15.92,37.5,35737,56869,5356,0.701,,
15/04/2021,Georgia,5157520,7828695,3333309,17.29,48.58,1835536,31.39,73.73,95998,87986,8287,0.659,,
15/05/2021,Georgia,7053648,10223535,3971980,29.15,66.43,3095445,37.41,96.29,49024,44683,4208,0.69,,
15/06/2021,Georgia,7939097,10932375,4387213,33.87,74.77,3596274,41.32,102.97,370,1020,96,0.726,,
15/07/2021,Georgia,8628869,11355655,4717320,37.49,81.27,3980303,44.43,106.95,404,11300,1064,0.76,,
15/08/2021,Georgia,9210328,12292995,5106743,39.42,86.75,4185186,48.1,115.78,490,18387,1732,0.749,,
15/09/2021,Georgia,10284452,14040285,5681047,43.53,96.86,4622000,53.51,132.24,163554,24506,2308,0.732,247335,2.33
15/10/2021,Georgia,11076028,15120615,5939989,47,104.32,4990632,55.95,142.41,43656,31442,2961,0.733,422316,3.98
15/11/2021,Georgia,11798447,16772735,6113305,48.8,111.12,5181380,57.58,157.97,116,12898,1215,0.703,790172,7.44
15/12/2021,Georgia,12816855,18007865,6389285,50.19,120.72,5329048,60.18,169.61,47714,37878,3568,0.712,1396259,13.15
15/01/2021,Hawaii,46958,154150,39690,0.51,3.32,7268,2.8,10.89,,4492,3173,0.305,,
15/02/2021,Hawaii,,,,,,,,,,5306,3748,,,
15/03/2021,Hawaii,538235,681200,333759,14.69,38.01,208017,23.57,48.11,10200,12178,8601,0.79,,
15/04/2021,Hawaii,895171,1235470,540705,26.79,63.22,379371,38.19,87.26,13758,13747,9709,0.725,,
15/05/2021,Hawaii,1445098,1657410,861906,43.06,102.06,609688,60.87,117.06,23804,9763,6895,0.872,,
15/06/2021,Hawaii,1639464,1915490,969687,49.78,115.79,704768,68.49,135.29,5241,3796,2681,0.856,,
15/07/2021,Hawaii,1700838,1958850,998788,52.79,120.13,747409,70.54,138.35,1259,1386,979,0.868,,
15/08/2021,Hawaii,1744877,2029120,1030280,54.29,123.24,768614,72.77,143.31,2414,1844,1302,0.86,,
15/09/2021,Hawaii,1831838,2258660,1072796,56.57,129.38,800980,75.77,159.52,2893,3403,2403,0.811,4987,0.35
