"","wardcode","X2014_gcse_points.x","BOROUGH"
"1","E05000026",317.7,"Barking and Dagenham"
"2","E05000027",307.4,"Barking and Dagenham"
"3","E05000028",295.5,"Barking and Dagenham"
"4","E05000029",293.4,"Barking and Dagenham"
"5","E05000030",305.9,"Barking and Dagenham"
"6","E05000031",315.7,"Barking and Dagenham"
"7","E05000032",300.7,"Barking and Dagenham"
"8","E05000033",302.2,"Barking and Dagenham"
"9","E05000034",297.3,"Barking and Dagenham"
"10","E05000035",337.8,"Barking and Dagenham"
"11","E05000036",305.4,"Barking and Dagenham"
"12","E05000037",312.2,"Barking and Dagenham"
"13","E05000038",300.2,"Barking and Dagenham"
"14","E05000039",307,"Barking and Dagenham"
"15","E05000040",303,"Barking and Dagenham"
"16","E05000041",301.6,"Barking and Dagenham"
"17","E05000042",310.8,"Barking and Dagenham"
"18","E05000043",339.3,"Barnet"
"19","E05000044",313.5,"Barnet"
"20","E05000045",335.7,"Barnet"
"21","E05000046",307.7,"Barnet"
"22","E05000047",343.5,"Barnet"
"23","E05000048",337.4,"Barnet"
"24","E05000049",350.1,"Barnet"
"25","E05000050",326.7,"Barnet"
"26","E05000051",360.7,"Barnet"
"27","E05000052",368.5,"Barnet"
"28","E05000053",342.1,"Barnet"
"29","E05000054",325.6,"Barnet"
"30","E05000055",352.7,"Barnet"
"31","E05000056",353.4,"Barnet"
"32","E05000057",352.8,"Barnet"
"33","E05000058",346.9,"Barnet"
"34","E05000059",368.9,"Barnet"
"35","E05000060",320.3,"Barnet"
"36","E05000061",368.9,"Barnet"
"37","E05000062",340.3,"Barnet"
"38","E05000063",356.7,"Barnet"
"39","E05000064",326.3,"Bexley"
"40","E05000065",306.1,"Bexley"
"41","E05000066",332.8,"Bexley"
"42","E05000067",340.1,"Bexley"
"43","E05000068",325.4,"Bexley"
"44","E05000069",342.9,"Bexley"
"45","E05000070",298.3,"Bexley"
"46","E05000071",301.4,"Bexley"
"47","E05000072",324.9,"Bexley"
"48","E05000073",337,"Bexley"
"49","E05000074",331.9,"Bexley"
"50","E05000075",312.2,"Bexley"
"51","E05000076",335.6,"Bexley"
"52","E05000077",303,"Bexley"
"53","E05000078",348.7,"Bexley"
"54","E05000079",285.7,"Bexley"
"55","E05000080",324.8,"Bexley"
"56","E05000081",358.7,"Bexley"
"57","E05000082",327.2,"Bexley"
"58","E05000083",347.7,"Bexley"
"59","E05000084",304.6,"Bexley"
"60","E05000085",318.6,"Brent"
"61","E05000086",321.6,"Brent"
"62","E05000087",354.6,"Brent"
"63","E05000088",298.1,"Brent"
"64","E05000089",311.5,"Brent"
"65","E05000090",327,"Brent"
"66","E05000091",304.9,"Brent"
"67","E05000092",307.6,"Brent"
"68","E05000093",357.2,"Brent"
"69","E05000094",319.2,"Brent"
"70","E05000095",314.1,"Brent"
"71","E05000096",345.7,"Brent"
"72","E05000097",339.1,"Brent"
"73","E05000098",345.8,"Brent"
"74","E05000099",332,"Brent"
"75","E05000100",298.6,"Brent"
"76","E05000101",331.2,"Brent"
"77","E05000102",310.8,"Brent"
"78","E05000103",315.7,"Brent"
"79","E05000104",305.7,"Brent"
"80","E05000105",296.7,"Brent"
"81","E05000106",359.3,"Bromley"
"82","E05000107",311.6,"Bromley"
"83","E05000108",341.7,"Bromley"
"84","E05000109",339.7,"Bromley"
"85","E05000110",363.7,"Bromley"
"86","E05000111",343.4,"Bromley"
"87","E05000112",338.2,"Bromley"
"88","E05000113",335.5,"Bromley"
"89","E05000114",296.9,"Bromley"
"90","E05000115",303,"Bromley"
"91","E05000116",286.7,"Bromley"
"92","E05000117",337.4,"Bromley"
"93","E05000118",355.3,"Bromley"
"94","E05000119",348.8,"Bromley"
"95","E05000120",355.1,"Bromley"
"96","E05000121",296.1,"Bromley"
"97","E05000122",328.6,"Bromley"
"98","E05000123",323.3,"Bromley"
"99","E05000124",357.2,"Bromley"
"100","E05000125",327.1,"Bromley"
"101","E05000126",381,"Bromley"
"102","E05000127",369.8,"Bromley"
"103","E05000128",327.6,"Camden"
"104","E05000129",342.9,"Camden"
"105","E05000130",337.7,"Camden"
"106","E05000131",317,"Camden"
"107","E05000132",326.2,"Camden"
"108","E05000133",357.2,"Camden"
"109","E05000134",323.4,"Camden"
"110","E05000135",384.3,"Camden"
"111","E05000136",297.2,"Camden"
"112","E05000137",316,"Camden"
"113","E05000138",339,"Camden"
"114","E05000139",305.2,"Camden"
"115","E05000140",314,"Camden"
"116","E05000141",322,"Camden"
"117","E05000142",319.8,"Camden"
"118","E05000143",313.6,"Camden"
"119","E05000144",305.1,"Camden"
"120","E05000145",328.3,"Camden"
"121","E05000146",318.3,"Croydon"
"122","E05000147",320.1,"Croydon"
"123","E05000148",311.7,"Croydon"
"124","E05000149",309.5,"Croydon"
"125","E05000150",335,"Croydon"
"126","E05000151",352.3,"Croydon"
"127","E05000152",341.2,"Croydon"
"128","E05000153",317.3,"Croydon"
"129","E05000154",276,"Croydon"
