,Entity,Code,Year,Total.alcohol.consumption.per.capita..liters.of.pure.alcohol..projected.estimates..15..years.of.age.
1,Albania,ALB,2000,6.570000172
,Albania,ALB,2001,
,Albania,ALB,2002,
,Albania,ALB,2003,
,Albania,ALB,2004,
2,Albania,ALB,2005,7.650000095
,Albania,ALB,2006,
,Albania,ALB,2007,
,Albania,ALB,2008,
,Albania,ALB,2009,
3,Albania,ALB,2010,7.690000057
,Albania,ALB,2011,
,Albania,ALB,2012,
,Albania,ALB,2013,
,Albania,ALB,2014,
4,Albania,ALB,2015,6.739999771
,Albania,ALB,2016,
,Albania,ALB,2017,
5,Albania,ALB,2018,7.170000076
6,Armenia,ARM,2000,4.230000019
,Armenia,ARM,2001,
,Armenia,ARM,2002,
,Armenia,ARM,2003,
,Armenia,ARM,2004,
7,Armenia,ARM,2005,5.789999962
,Armenia,ARM,2006,
,Armenia,ARM,2007,
,Armenia,ARM,2008,
,Armenia,ARM,2009,
8,Armenia,ARM,2010,5.690000057
,Armenia,ARM,2011,
,Armenia,ARM,2012,
,Armenia,ARM,2013,
,Armenia,ARM,2014,
9,Armenia,ARM,2015,5.840000153
,Armenia,ARM,2016,
,Armenia,ARM,2017,
10,Armenia,ARM,2018,5.550000191
11,Austria,AUT,2000,13.11999989
,Austria,AUT,2001,
,Austria,AUT,2002,
,Austria,AUT,2003,
,Austria,AUT,2004,
12,Austria,AUT,2005,12.78999996
,Austria,AUT,2006,
,Austria,AUT,2007,
,Austria,AUT,2008,
,Austria,AUT,2009,
13,Austria,AUT,2010,12.19999981
,Austria,AUT,2011,
,Austria,AUT,2012,
,Austria,AUT,2013,
,Austria,AUT,2014,
14,Austria,AUT,2015,12.06999969
,Austria,AUT,2016,
,Austria,AUT,2017,
15,Austria,AUT,2018,11.96000004
16,Belarus,BLR,2000,15.17000008
,Belarus,BLR,2001,
,Belarus,BLR,2002,
,Belarus,BLR,2003,
,Belarus,BLR,2004,
17,Belarus,BLR,2005,15.30000019
,Belarus,BLR,2006,
,Belarus,BLR,2007,
,Belarus,BLR,2008,
,Belarus,BLR,2009,
18,Belarus,BLR,2010,17.43000031
,Belarus,BLR,2011,
,Belarus,BLR,2012,
,Belarus,BLR,2013,
,Belarus,BLR,2014,
19,Belarus,BLR,2015,12
,Belarus,BLR,2016,
,Belarus,BLR,2017,
20,Belarus,BLR,2018,11.44999981
21,Belgium,BEL,2000,12.48999977
,Belgium,BEL,2001,
,Belgium,BEL,2002,
,Belgium,BEL,2003,
