wardname,wardcode,2014_gcse_points,a_level_scores
City of London,E09000001,354.5,662.9
Barking and Dagenham - Abbey,E05000026,317.7,682.6
Barking and Dagenham - Alibon,E05000027,307.4,627.9
Barking and Dagenham - Becontree,E05000028,295.5,632
Barking and Dagenham - Chadwell Heath,E05000029,293.4,613.9
Barking and Dagenham - Eastbrook,E05000030,305.9,670.1
Barking and Dagenham - Eastbury,E05000031,315.7,680.8
Barking and Dagenham - Gascoigne,E05000032,300.7,662.1
Barking and Dagenham - Goresbrook,E05000033,302.2,693.7
Barking and Dagenham - Heath,E05000034,297.3,656.7
Barking and Dagenham - Longbridge,E05000035,337.8,697.2
Barking and Dagenham - Mayesbrook,E05000036,305.4,648.5
Barking and Dagenham - Parsloes,E05000037,312.2,665.9
Barking and Dagenham - River,E05000038,300.2,632.6
Barking and Dagenham - Thames,E05000039,307,651.6
Barking and Dagenham - Valence,E05000040,303,661.1
Barking and Dagenham - Village,E05000041,301.6,643.6
Barking and Dagenham - Whalebone,E05000042,310.8,645.2
Barnet - Brunswick Park,E05000043,339.3,724.4
Barnet - Burnt Oak,E05000044,313.5,641
Barnet - Childs Hill,E05000045,335.7,672.2
Barnet - Colindale,E05000046,307.7,641.3
Barnet - Coppetts,E05000047,343.5,704.5
Barnet - East Barnet,E05000048,337.4,690.7
Barnet - East Finchley,E05000049,350.1,715.1
Barnet - Edgware,E05000050,326.7,736.8
Barnet - Finchley Church End,E05000051,360.7,779.4
Barnet - Garden Suburb,E05000052,368.5,879.7
Barnet - Golders Green,E05000053,342.1,739.9
Barnet - Hale,E05000054,325.6,734.8
Barnet - Hendon,E05000055,352.7,791.3
Barnet - High Barnet,E05000056,353.4,760.5
Barnet - Mill Hill,E05000057,352.8,733.2
Barnet - Oakleigh,E05000058,346.9,748.4
Barnet - Totteridge,E05000059,368.9,744.5
Barnet - Underhill,E05000060,320.3,659.4
Barnet - West Finchley,E05000061,368.9,725.9
Barnet - West Hendon,E05000062,340.3,725.6
Barnet - Woodhouse,E05000063,356.7,696.5
Bexley - Barnehurst,E05000064,326.3,757.6
Bexley - Belvedere,E05000065,306.1,694.4
Bexley - Blackfen and Lamorbey,E05000066,332.8,750.3
Bexley - Blendon and Penhill,E05000067,340.1,725.5
Bexley - Brampton,E05000068,325.4,688.4
Bexley - Christchurch,E05000069,342.9,707.2
Bexley - Colyers,E05000070,298.3,647.2
Bexley - Crayford,E05000071,301.4,705.3
Bexley - Cray Meadows,E05000072,324.9,735.7
Bexley - Danson Park,E05000073,337,728.7
Bexley - East Wickham,E05000074,331.9,691.1
Bexley - Erith,E05000075,312.2,627.7
Bexley - Falconwood and Welling,E05000076,335.6,691.5
Bexley - Lesnes Abbey,E05000077,303,691.8
Bexley - Longlands,E05000078,348.7,712.1
Bexley - North End,E05000079,285.7,637.5
Bexley - Northumberland Heath,E05000080,324.8,668.7
Bexley - St. Mary's,E05000081,358.7,762.7
Bexley - St. Michael's,E05000082,327.2,730.2
Bexley - Sidcup,E05000083,347.7,779.7
Bexley - Thamesmead East,E05000084,304.6,707.1
Brent - Alperton,E05000085,318.6,659.1
Brent - Barnhill,E05000086,321.6,697.3
Brent - Brondesbury Park,E05000087,354.6,689.6
Brent - Dollis Hill,E05000088,298.1,659.3
Brent - Dudden Hill,E05000089,311.5,692.3
Brent - Fryent,E05000090,327,650.4
Brent - Harlesden,E05000091,304.9,636.8
Brent - Kensal Green,E05000092,307.6,658.4
Brent - Kenton,E05000093,357.2,743
Brent - Kilburn,E05000094,319.2,614.8
Brent - Mapesbury,E05000095,314.1,682.8
Brent - Northwick Park,E05000096,345.7,708.3
Brent - Preston,E05000097,339.1,718.8
Brent - Queens Park,E05000098,345.8,743
Brent - Queensbury,E05000099,332,742.9
Brent - Stonebridge,E05000100,298.6,654.9
Brent - Sudbury,E05000101,331.2,687
Brent - Tokyngton,E05000102,310.8,682.8
Brent - Welsh Harp,E05000103,315.7,666.9
Brent - Wembley Central,E05000104,305.7,731
Brent - Willesden Green,E05000105,296.7,614.7
Bromley - Bickley,E05000106,359.3,803.2
Bromley - Biggin Hill,E05000107,311.6,699.1
Bromley - Bromley Common and Keston,E05000108,341.7,735.3
Bromley - Bromley Town,E05000109,339.7,772.5
Bromley - Chelsfield and Pratts Bottom,E05000110,363.7,760.8
Bromley - Chislehurst,E05000111,343.4,782.5
Bromley - Clock House,E05000112,338.2,720.5
Bromley - Copers Cope,E05000113,335.5,798.3
Bromley - Cray Valley East,E05000114,296.9,647.3
Bromley - Cray Valley West,E05000115,303,677.4
Bromley - Crystal Palace,E05000116,286.7,690.1
Bromley - Darwin,E05000117,337.4,705.6
Bromley - Farnborough and Crofton,E05000118,355.3,833.6
Bromley - Hayes and Coney Hall,E05000119,348.8,772.9
Bromley - Kelsey and Eden Park,E05000120,355.1,707.1
Bromley - Mottingham and Chislehurst North,E05000121,296.1,732.5
Bromley - Orpington,E05000122,328.6,752.5
Bromley - Penge and Cator,E05000123,323.3,701.1
Bromley - Petts Wood and Knoll,E05000124,357.2,818
Bromley - Plaistow and Sundridge,E05000125,327.1,768.3
Bromley - Shortlands,E05000126,381,722.9
Bromley - West Wickham,E05000127,369.8,746.5
Camden - Belsize,E05000128,327.6,643.9
Camden - Bloomsbury,E05000129,342.9,662.7
Camden - Camden Town with Primrose Hill,E05000130,337.7,683.6
Camden - Cantelowes,E05000131,317,723.8
Camden - Fortune Green,E05000132,326.2,594.2
Camden - Frognal and Fitzjohns,E05000133,357.2,864
Camden - Gospel Oak,E05000134,323.4,706.6
Camden - Hampstead Town,E05000135,384.3,732.2
Camden - Haverstock,E05000136,297.2,658.3
Camden - Highgate,E05000137,316,659.5
Camden - Holborn and Covent Garden,E05000138,339,678.8
Camden - Kentish Town,E05000139,305.2,691.1
Camden - Kilburn,E05000140,314,660.9
Camden - King's Cross,E05000141,322,651.3
Camden - Regent's Park,E05000142,319.8,706.6
Camden - St. Pancras and Somers Town,E05000143,313.6,626.3
Camden - Swiss Cottage,E05000144,305.1,627
Camden - West Hampstead,E05000145,328.3,659.2
Croydon - Addiscombe,E05000146,318.3,721.6
Croydon - Ashburton,E05000147,320.1,700.6
Croydon - Bensham Manor,E05000148,311.7,680.2
Croydon - Broad Green,E05000149,309.5,678.6
Croydon - Coulsdon East,E05000150,335,709
Croydon - Coulsdon West,E05000151,352.3,748.3
Croydon - Croham,E05000152,341.2,713.1
Croydon - Fairfield,E05000153,317.3,658.5
Croydon - Fieldway,E05000154,276,631.7
Croydon - Heathfield,E05000155,309.5,713.6
Croydon - Kenley,E05000156,330.1,718.8
Croydon - New Addington,E05000157,289.8,680.5
Croydon - Norbury,E05000158,326.8,694.1
Croydon - Purley,E05000159,345.9,759.4
Croydon - Sanderstead,E05000160,346.8,755
Croydon - Selhurst,E05000161,316.7,666.1
Croydon - Selsdon and Ballards,E05000162,339.7,706.9
Croydon - Shirley,E05000163,319.2,656.5
Croydon - South Norwood,E05000164,318.9,717.1
Croydon - Thornton Heath,E05000165,297.8,649.9
Croydon - Upper Norwood,E05000166,318.4,700.3
Croydon - Waddon,E05000167,304.6,692
Croydon - West Thornton,E05000168,317.7,675.9
Croydon - Woodside,E05000169,299.3,680.9
Ealing - Acton Central,E05000170,335.7,726.2
Ealing - Cleveland,E05000171,338.9,727.2
Ealing - Dormers Wells,E05000172,308.5,672.1
Ealing - Ealing Broadway,E05000173,349.3,773
Ealing - Ealing Common,E05000174,338.9,685.9
Ealing - East Acton,E05000175,305.9,696.4
Ealing - Elthorne,E05000176,313.4,710
Ealing - Greenford Broadway,E05000177,315.4,682.9
Ealing - Greenford Green,E05000178,324.9,720.1
Ealing - Hanger Hill,E05000179,330.2,687
Ealing - Hobbayne,E05000180,328,711.2
Ealing - Lady Margaret,E05000181,337.1,716.2
Ealing - Northfield,E05000182,379.5,793
Ealing - North Greenford,E05000183,323.2,700.5
Ealing - Northolt Mandeville,E05000184,302.8,662.9
Ealing - Northolt West End,E05000185,319.9,677.2
Ealing - Norwood Green,E05000186,309.1,719.9
Ealing - Perivale,E05000187,339.8,733.2
Ealing - South Acton,E05000188,320.7,657.4
Ealing - Southall Broadway,E05000189,315.5,732.9
Ealing - Southall Green,E05000190,305.8,686
Ealing - Southfield,E05000191,350.5,698.3
Ealing - Walpole,E05000192,371.3,787.6
Enfield - Bowes,E05000193,329.8,702.2
Enfield - Bush Hill Park,E05000194,353.4,671.8
Enfield - Chase,E05000195,317,684.9
Enfield - Cockfosters,E05000196,339.7,777.3
Enfield - Edmonton Green,E05000197,293.6,644.3
Enfield - Enfield Highway,E05000198,311.3,638.3
Enfield - Enfield Lock,E05000199,303.4,659.6
Enfield - Grange,E05000200,364.5,762.6
Enfield - Haselbury,E05000201,307.5,677.2
Enfield - Highlands,E05000202,347,719
Enfield - Jubilee,E05000203,310.4,624.8
Enfield - Lower Edmonton,E05000204,304,629.4
Enfield - Palmers Green,E05000205,336.5,732.4
Enfield - Ponders End,E05000206,313.5,634.1
Enfield - Southbury,E05000207,327.2,641.5
Enfield - Southgate,E05000208,360.6,746.4
Enfield - Southgate Green,E05000209,348.5,796
Enfield - Town,E05000210,327.9,659.9
Enfield - Turkey Street,E05000211,306.5,633.3
Enfield - Upper Edmonton,E05000212,290.8,636.6
Enfield - Winchmore Hill,E05000213,351,767.7
Greenwich - Abbey Wood,E05000214,301.1,683.8
Greenwich - Blackheath Westcombe,E05000215,327.4,754.4
Greenwich - Charlton,E05000216,316.2,708.9
Greenwich - Coldharbour and New Eltham,E05000217,319.5,688.8
Greenwich - Eltham North,E05000218,339,755.9
Greenwich - Eltham South,E05000219,352.5,703.8
Greenwich - Eltham West,E05000220,310.9,690.1
Greenwich - Glyndon,E05000221,317.5,687.1
Greenwich - Greenwich West,E05000222,310.9,642.9
Greenwich - Kidbrooke with Hornfair,E05000223,313.1,743.4
Greenwich - Middle Park and Sutcliffe,E05000224,329.3,714.3
Greenwich - Peninsula,E05000225,302.8,723.8
Greenwich - Plumstead,E05000226,305.6,712.8
Greenwich - Shooters Hill,E05000227,320.1,714.4
Greenwich - Thamesmead Moorings,E05000228,311.5,711
Greenwich - Woolwich Common,E05000229,313,669.2
Greenwich - Woolwich Riverside,E05000230,309,667.2
Hackney - Brownswood,E05000231,295,656.5
Hackney - Cazenove,E05000232,320.4,624.3
Hackney - Chatham,E05000233,326.3,680.5
Hackney - Clissold,E05000234,345.6,728.5
Hackney - Dalston,E05000235,332.3,680
Hackney - De Beauvoir,E05000236,314.9,684.5
Hackney - Hackney Central,E05000237,328,678
Hackney - Hackney Downs,E05000238,318,735.7
Hackney - Haggerston,E05000239,295.3,638.2
Hackney - Hoxton,E05000240,322.5,633.3
Hackney - King's Park,E05000241,320.5,680.1
Hackney - Leabridge,E05000242,338.5,667.9
Hackney - Lordship,E05000243,335.9,683.6
Hackney - New River,E05000244,320.5,641.4
Hackney - Queensbridge,E05000245,294.4,708.6
Hackney - Springfield,E05000246,331.8,663
Hackney - Stoke Newington Central,E05000247,327.7,715.1
Hackney - Victoria,E05000248,320.6,677.3
Hackney - Wick,E05000249,310.6,679.9
Hammersmith and Fulham - Addison,E05000250,330.5,635.5
Hammersmith and Fulham - Askew,E05000251,312.8,668
Hammersmith and Fulham - Avonmore and Brook Green,E05000252,343.1,656.2
Hammersmith and Fulham - College Park and Old Oak,E05000253,317.4,669.2
Hammersmith and Fulham - Fulham Broadway,E05000254,294.3,635.3
Hammersmith and Fulham - Fulham Reach,E05000255,343.1,584.6
Hammersmith and Fulham - Hammersmith Broadway,E05000256,325.4,587.2
Hammersmith and Fulham - Munster,E05000257,279.9,709.1
Hammersmith and Fulham - North End,E05000258,300,636.1
Hammersmith and Fulham - Palace Riverside,E05000259,309.3,713.4
Hammersmith and Fulham - Parsons Green and Walham,E05000260,321.3,775.2
Hammersmith and Fulham - Ravenscourt Park,E05000261,339.5,674.5
Hammersmith and Fulham - Sands End,E05000262,321.3,637.3
Hammersmith and Fulham - Shepherd's Bush Green,E05000263,331.9,688.2
Hammersmith and Fulham - Town,E05000264,333.9,676.8
Hammersmith and Fulham - Wormholt and White City,E05000265,308.5,659
Haringey - Alexandra,E05000266,382,780.3
Haringey - Bounds Green,E05000267,335,662.8
Haringey - Bruce Grove,E05000268,298.7,660.2
Haringey - Crouch End,E05000269,366.3,770.7
Haringey - Fortis Green,E05000270,375.2,791.6
Haringey - Harringay,E05000271,302.8,709
Haringey - Highgate,E05000272,315.8,669.3
Haringey - Hornsey,E05000273,329.4,685.1
Haringey - Muswell Hill,E05000274,374.5,841
Haringey - Noel Park,E05000275,302.1,648.9
Haringey - Northumberland Park,E05000276,292.8,626.1
Haringey - St. Ann's,E05000277,304.7,675.4
Haringey - Seven Sisters,E05000278,319.6,643.7
Haringey - Stroud Green,E05000279,335,751.4
Haringey - Tottenham Green,E05000280,292.4,638.2
Haringey - Tottenham Hale,E05000281,300.9,633.3
Haringey - West Green,E05000282,309.4,691.2
Haringey - White Hart Lane,E05000283,314.8,632.6
Haringey - Woodside,E05000284,300.6,677.2
Harrow - Belmont,E05000285,356.1,746.3
Harrow - Canons,E05000286,340.9,760.7
Harrow - Edgware,E05000287,334.2,700.1
Harrow - Greenhill,E05000288,318.2,756.2
Harrow - Harrow on the Hill,E05000289,343.2,729.8
Harrow - Harrow Weald,E05000290,323.9,726.9
Harrow - Hatch End,E05000291,351.3,773.7
Harrow - Headstone North,E05000292,359.5,729.8
Harrow - Headstone South,E05000293,351,794.5
Harrow - Kenton East,E05000294,337,724.7
Harrow - Kenton West,E05000295,342.1,702.2
Harrow - Marlborough,E05000296,322.8,689.6
Harrow - Pinner,E05000297,332.3,766.4
Harrow - Pinner South,E05000298,368.6,866.2
Harrow - Queensbury,E05000299,331.6,727.8
Harrow - Rayners Lane,E05000300,349.8,751.2
Harrow - Roxbourne,E05000301,321,685.4
Harrow - Roxeth,E05000302,335.3,669.5
Harrow - Stanmore Park,E05000303,313.1,736.6
Harrow - Wealdstone,E05000304,314.7,676.4
Harrow - West Harrow,E05000305,357,728.5
Havering - Brooklands,E05000306,307.3,648
Havering - Cranham,E05000307,336.5,733.7
Havering - Elm Park,E05000308,321.9,664.1
Havering - Emerson Park,E05000309,351.8,762.9
Havering - Gooshays,E05000310,284.4,564.6
Havering - Hacton,E05000311,340.8,701.2
Havering - Harold Wood,E05000312,292.3,628.7
Havering - Havering Park,E05000313,290.8,609
Havering - Heaton,E05000314,298.5,509.6
Havering - Hylands,E05000315,340.6,660.3
Havering - Mawneys,E05000316,313.1,615.8
Havering - Pettits,E05000317,321.5,647
Havering - Rainham and Wennington,E05000318,304.2,618.4
Havering - Romford Town,E05000319,314.2,645.1
Havering - St. Andrew's,E05000320,328,647.2
Havering - South Hornchurch,E05000321,304.6,657
Havering - Squirrel's Heath,E05000322,334.7,658.2
Havering - Upminster,E05000323,352.1,765.2
Hillingdon - Barnhill,E05000324,317.1,645.2
Hillingdon - Botwell,E05000325,312.1,678.1
Hillingdon - Brunel,E05000326,294.2,675.2
Hillingdon - Cavendish,E05000327,347,734.9
Hillingdon - Charville,E05000328,334,688.4
Hillingdon - Eastcote and East Ruislip,E05000329,350.9,764.3
Hillingdon - Harefield,E05000330,306.9,701.7
Hillingdon - Heathrow Villages,E05000331,319.9,681.5
Hillingdon - Hillingdon East,E05000332,326.5,717.7
Hillingdon - Ickenham,E05000333,366.8,713.7
Hillingdon - Manor,E05000334,350.7,710.8
Hillingdon - Northwood,E05000335,338.6,796.7
Hillingdon - Northwood Hills,E05000336,332.4,724.6
Hillingdon - Pinkwell,E05000337,326.1,666.9
Hillingdon - South Ruislip,E05000338,327.5,678.3
Hillingdon - Townfield,E05000339,308.6,696.8
Hillingdon - Uxbridge North,E05000340,345,688.9
Hillingdon - Uxbridge South,E05000341,309.2,679.3
Hillingdon - West Drayton,E05000342,293.3,696.8
Hillingdon - West Ruislip,E05000343,340.5,732.1
Hillingdon - Yeading,E05000344,314.5,716.8
Hillingdon - Yiewsley,E05000345,289.7,675.4
Hounslow - Bedfont,E05000346,313.5,673.2
Hounslow - Brentford,E05000347,330.8,710.2
Hounslow - Chiswick Homefields,E05000348,345.5,729.5
Hounslow - Chiswick Riverside,E05000349,355.5,743.6
Hounslow - Cranford,E05000350,314.6,645.4
Hounslow - Feltham North,E05000351,318.9,651.8
Hounslow - Feltham West,E05000352,309.4,620.1
Hounslow - Hanworth,E05000353,292.8,579.2
Hounslow - Hanworth Park,E05000354,316.6,643.3
Hounslow - Heston Central,E05000355,333.7,701
Hounslow - Heston East,E05000356,337.2,702.7
Hounslow - Heston West,E05000357,323.2,665.7
Hounslow - Hounslow Central,E05000358,345,707.5
Hounslow - Hounslow Heath,E05000359,340.2,709.8
Hounslow - Hounslow South,E05000360,342.9,700.8
Hounslow - Hounslow West,E05000361,331.1,707.7
Hounslow - Isleworth,E05000362,315.8,679.5
